totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	3080835	36461	1.18347785584103	209781	6.80922542103034	2834593	92.0072967231286
2	3598848	40642	1.12930582230758	201712	5.60490468060891	3356494	93.2657894970835
3	3280357	42507	1.29580408473834	223666	6.81834324739655	3014184	91.8858526678651
4	1060062	17473	1.64829981642583	81473	7.68568253554981	961116	90.6660176480244
5	844509	17581	2.08180137807886	38900	4.60622681345018	788028	93.311971808471
6	878266	15232	1.73432650244914	53637	6.10714749290078	809397	92.1585260046501
7	1387623	140057	10.0933034404878	175668	12.6596344972662	1071898	77.247062062246
8	319125	127376	39.9141402271837	52215	16.3619271445358	139534	43.7239326282805
9	1451853	129949	8.95056179930062	198940	13.7024891638479	1122964	77.3469490368515
