totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	2466992	73959	2.9979424335385	157337	6.3776858619728	2235696	90.6243717044887
2	2761956	85861	3.10870267303317	144292	5.22426859805153	2531803	91.6670287289153
3	2588278	82377	3.18269521280172	161791	6.25091276903022	2344110	90.5663920181681
4	776123	13588	1.75075342439278	56290	7.25271638644906	706245	90.9965301891582
5	607225	12789	2.10613858125077	25954	4.27419819671456	568482	93.6196632220347
6	639570	11396	1.78182216176494	35633	5.57139953406195	592541	92.6467783041731
7	1253805	118291	9.43456119572023	120485	9.60954853426171	1015029	80.9558902700181
8	220096	86074	39.1074803722012	27902	12.6771954056412	106120	48.2153242221576
9	1281644	125536	9.79491965007444	139034	10.8480982238438	1017074	79.3569821260818
