totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	1494340	59188	3.96081213110805	89863	6.01355782485914	1345289	90.0256300440328
2	1620632	66365	4.095007379837	76868	4.74308788176464	1477399	91.1619047383984
3	1552715	65245	4.20199457080018	89654	5.77401519274303	1397816	90.0239902364568
4	500779	9644	1.92579960421663	36616	7.31180820282001	454519	90.7623921929634
5	395869	8808	2.2249784650983	17345	4.38149994063693	369716	93.3935215942648
6	415529	7954	1.91418649480542	23679	5.6985192369245	383896	92.3872942682701
7	931250	92559	9.93922147651007	87369	9.38190604026846	751322	80.6788724832215
8	184606	70696	38.2956133603458	21973	11.9026467178748	91937	49.8017399217794
9	924825	95614	10.3386046008704	98699	10.6721812234747	730512	78.9892141756549
