coefficient z.value p.value p.adj
seqMethodB 3.10825637473876 0.00188194735478093 0.00313657892463488
seqMethodC 19.7969337919355 3.16374171598537e-87 3.16374171598537e-86
seqMethodB -1.67594930610252 0.0937481226923047 0.133925889560435
seqMethodC -3.40541348238703 0.000660639430205906 0.00132127886041181
seqMethodB 0.786800591625864 0.431398607119641 0.431398607119641
seqMethodC -3.55547211408703 0.000377300963528097 0.000943252408820243
seqMethodB -3.69524578264397 0.000219674180408805 0.00073224726802935
seqMethodC -8.63074893488121 6.09515423004104e-18 3.04757711502052e-17
seqMethodB 1.11684560931895 0.264060343796803 0.330075429746004
seqMethodC 1.00753304415794 0.313678686481029 0.34853187386781
