"geneID"	"percentMeth"
"g10356"	0
"g10357"	0
"g10358"	44.761905
"g10359"	30.769231
"g1036"	0
"g10360"	0
"g10361"	0
"g10362"	0
"g10363"	7.692308
"g10364"	35.4166665
"g10365"	0
"g10366"	85.714286
"g10367"	71.4285715
"g10368"	0
"g10369"	36.6666665
"g1037"	0
"g10370"	27.272727
"g10371"	54.248366
"g10372"	0
"g10373"	0
"g10374"	0
"g10375"	0
"g10376"	0
"g10377"	0
"g10378"	50
"g10379"	88.6904765
"g1038"	0
"g10380"	80
"g10381"	3.846154
"g10382"	69.230769
"g10383"	30
"g10384"	0
"g10385"	0
"g10386"	91.6666665
"g10388"	0
"g10389"	0
"g1039"	0
"g10390"	50
"g10391"	0
"g10394"	0
"g10395"	0
"g10397"	0
"g10398"	0
"g10399"	0
"g1040"	0
"g10400"	0
"g10401"	0
"g10402"	0
"g10403"	0
"g10404"	0
"g10408"	38.888889
"g1041"	0
"g10410"	0
"g10411"	0
"g10412"	0
"g10413"	0
"g10414"	0
"g10415"	0
"g10416"	0
"g10417"	0
"g10418"	0
"g10419"	0
"g1042"	0
"g10420"	0
"g10421"	0
"g10422"	0
"g10423"	0
"g10424"	0
"g10425"	0
"g10426"	0
"g10427"	0
"g10428"	0
"g10429"	0
"g1043"	0
"g10430"	0
"g10431"	0
"g10432"	0
"g10433"	0
"g10434"	0
"g10435"	0
"g10436"	6.25
"g10437"	81.6666665
"g1044"	0
"g10440"	93.75
"g10441"	71.428571
"g10442"	0
"g10443"	0
"g10444"	0
"g10445"	0
"g10446"	0
"g10447"	0
"g10448"	0
"g10449"	0
"g1045"	0
"g10450"	0
"g10451"	0
"g10452"	0
"g10453"	0
"g10454"	0
"g10455"	0
"g10456"	0
"g10457"	0
"g10458"	0
"g10459"	0
"g1046"	0
"g10460"	0
"g10461"	6.6964285
"g10462"	0
"g10463"	0
"g10464"	0
"g10465"	0
"g10466"	0
"g10467"	0
"g10468"	0
"g10469"	80
"g1047"	0
"g10470"	88.1944445
"g10471"	0
"g10472"	0
"g10473"	0
"g10474"	0
"g10475"	0
"g10476"	0
"g10477"	0
"g10478"	72.077922
"g10479"	0
"g1048"	0
"g10480"	0
"g10481"	57.142857
"g10482"	0
"g10483"	0
"g10484"	0
"g10485"	0
"g10486"	40
"g10487"	58.578431
"g10488"	45.454545
"g10489"	0
"g1049"	0
"g10490"	0
"g10491"	0
"g10492"	0
"g10493"	92.307692
"g10494"	0
"g10495"	0
"g10496"	0
"g10497"	0
"g10498"	0
"g10499"	60
"g105"	0
"g1050"	0
"g10500"	91.875
"g10501"	0
"g10502"	0
"g10503"	0
"g10504"	0
"g10505"	0
"g10506"	0
"g10507"	0
"g10508"	0
"g10509"	0
"g1051"	0
"g10510"	0
"g10511"	10
"g10512"	0
"g10513"	0
"g10514"	0
"g10515"	0
"g10516"	0
"g10517"	0
"g10518"	0
"g10519"	0
"g1052"	0
"g10520"	0
"g10521"	0
"g10522"	0
"g10523"	23.8095235
"g10524"	0
"g10526"	0
"g10527"	0
"g10528"	0
"g10529"	0
"g1053"	0
"g10530"	0
"g10531"	0
"g10532"	0
"g10533"	0
"g10534"	0
"g10535"	0
"g10536"	0
"g10537"	0
"g10538"	0
"g10539"	0
"g1054"	6.25
"g10540"	0
"g10541"	0
"g10542"	0
"g10543"	0
"g10544"	0
"g10545"	0
"g10546"	0
"g10548"	0
"g10549"	0
"g1055"	37.5
"g10550"	0
"g10551"	0
"g10552"	0
"g10553"	0
"g10554"	0
"g10555"	0
"g10556"	0
"g10557"	0
"g10558"	0
"g10559"	0
"g1056"	0
"g10560"	0
"g10561"	0
"g10562"	0
"g10563"	0
"g10565"	0
"g10566"	14.705882
"g10567"	0
"g10568"	0
"g10569"	38.888889
"g1057"	0
"g10570"	28.2502445
"g10571"	11.5384615
"g10572"	0
"g10573"	1.25
"g10574"	0
"g10575"	0
"g10576"	0
"g10577"	0
"g10578"	25
"g10579"	90
"g1058"	0
"g10580"	0
"g10581"	0
"g10582"	0
"g10583"	0
"g10584"	0
"g10585"	0
"g10586"	0
"g10588"	0
"g1059"	0
"g10594"	0
"g10595"	0
"g10596"	0
"g10597"	0
"g10598"	33.333333
"g10599"	0
"g106"	0
"g1060"	0
"g10600"	0
"g10601"	0
"g10602"	0
"g10603"	0
"g10604"	0
"g10605"	33.333333
"g10608"	0
"g1061"	0
"g10611"	62.5
"g10612"	50
"g10613"	0
"g10614"	0
"g10615"	0
"g10616"	0
"g10617"	0
"g10618"	0
"g10619"	0
"g1062"	78.3333335
"g10620"	0
"g10621"	3.3333335
"g10622"	75
"g10623"	88.888889
"g10624"	0
"g10626"	0
"g10627"	0
"g10628"	0
