"geneID"	"percentMeth"
"g1"	0
"g100"	0
"g1000"	0
"g10000"	0.906618
"g10001"	0.34965
"g10002"	3.0833655
"g10006"	0
"g10007"	0.603623
"g10008"	0
"g10009"	1.5177385
"g1001"	0
"g10013"	0
"g10014"	0
"g10016"	0.528989
"g10017"	0
"g10019"	0
"g1002"	0
"g10020"	0
"g10021"	0.789177
"g10022"	0
"g10023"	50
"g10024"	0
"g10025"	0.357143
"g10026"	0
"g10028"	0.5390875
"g1003"	0
"g10031"	44.444444
"g10032"	73.173173
"g10038"	0
"g1004"	0
"g10041"	100
"g10042"	0
"g10048"	0
"g10049"	0
"g1005"	10
"g10050"	0
"g10051"	0
"g10052"	0
"g10053"	0
"g10056"	0
"g10057"	0
"g10058"	0
"g10059"	0.52356
"g1006"	0
"g10061"	0
"g10064"	0
"g10065"	0
"g10066"	0.582639
"g10067"	0.330306
"g10069"	0
"g1007"	2.444988
"g10070"	4
"g10071"	13.3333335
"g10072"	4.463438
"g10073"	0
"g10074"	0
"g10075"	0
"g10076"	1.388889
"g10077"	0
"g10079"	0.32078
"g10080"	0
"g10081"	0
"g10082"	1.457919
"g10085"	0
"g10086"	0.632911
"g10087"	0
"g10088"	0
"g10089"	0.532409
"g1009"	0
"g10090"	0.641026
"g10091"	0
"g10093"	0
"g10094"	0
"g10095"	0
"g10098"	0
"g10099"	0
"g101"	0
"g1010"	3.5714285
"g10100"	0.1602565
"g10101"	0
"g10102"	0.598937
"g10103"	0
"g10107"	0
"g1011"	0.4525255
"g10111"	50
"g10113"	0.81634
"g10114"	0
"g10115"	53.333333
"g10116"	100
"g10117"	0
"g10118"	0.0972765
"g10119"	0
"g1012"	2.829582
"g10120"	0
"g10125"	0
"g10126"	0
"g10127"	0
"g10128"	0.4155635
"g10129"	0
"g1013"	1.896067
"g10131"	0.75188
"g10132"	0.492611
"g10134"	0
"g10135"	0.285307
"g10137"	0.6016705
"g10138"	0.315457
"g10139"	0
"g10140"	2.631579
"g10145"	0
"g10148"	0.291703
"g10149"	0
"g10151"	0
"g10152"	0.59332
"g10154"	0.615385
"g10155"	0.718907
"g1016"	0.4484305
"g10163"	1.185771
"g10165"	0
"g1017"	0
"g10171"	1.743375
"g10172"	2.9411765
"g10173"	0
"g10176"	0
"g10177"	0
"g10178"	0
"g1018"	0
"g10180"	0.705219
"g10184"	0
"g10186"	0.364299
"g10187"	0
"g10189"	0
"g1019"	0
"g10190"	0.761037
"g10191"	0
"g10193"	0.473613
"g10194"	0
"g10195"	0.40404
"g10196"	0
"g10197"	0
"g10199"	1.3089005
"g1020"	0
"g10200"	0
"g10202"	0
"g10203"	0
"g10205"	0
"g10206"	0.2722945
"g10207"	0
"g10209"	0
"g1021"	0
"g10210"	0.376889
"g10211"	0
"g10212"	0
"g10213"	0
"g10214"	0
"g10216"	0
"g10219"	100
"g1022"	0
"g10220"	0
"g10223"	52.380952
"g10226"	0
"g10229"	1.326053
"g1023"	0
"g10230"	0.478229
"g10231"	93.0307665
"g10232"	0
"g10233"	50
"g10235"	0
"g10236"	0
"g10239"	0.7717245
"g1024"	0.2127685
"g10241"	2.295512
"g10242"	0.6218905
"g10243"	0
"g10245"	0
"g10246"	1.351351
"g10250"	0
"g10253"	1.5625
"g10254"	91.666667
"g10255"	0
"g10257"	0
"g10258"	0
"g1026"	0.40568
"g10261"	0
"g10262"	1.548574
"g10263"	0
"g10264"	1.144165
"g10265"	0
"g10266"	0
"g10267"	0.594059
"g10268"	20.33195
"g1027"	0.361011
"g10270"	0
"g10271"	0.995025
"g10272"	0
"g10273"	0
"g10275"	1.657459
"g10277"	1.587302
"g10279"	100
"g10282"	0
"g10288"	0
"g1029"	0.322165
"g10290"	20
"g10291"	0
"g10293"	1.7482515
"g10294"	0
"g10295"	0
"g10296"	0
"g10298"	0.515796
"g10299"	0.933126
"g1030"	0
"g10301"	100
"g10302"	0
"g10304"	0
"g10305"	0.2994035
"g10306"	0
"g10307"	0
"g10308"	60
"g10309"	0
"g1031"	0.612245
"g10317"	0
"g10318"	0
"g10322"	0
"g10325"	0
"g10327"	100
"g10328"	1.540436
"g10329"	0.41841
"g1033"	0.934579
"g10330"	0
"g10331"	0
"g10332"	5.323479
"g10334"	1.406267
"g10335"	0.833695
"g1034"	0
"g10341"	0
"g10342"	0
"g10349"	0
"g10350"	0.630998
"g10355"	0
"g10356"	0
"g10357"	0
"g10358"	0
"g10359"	42.857143
"g1036"	0.224719
"g10360"	0
"g10361"	0
"g10362"	0
"g10364"	0.148368
"g10365"	0
"g10368"	0
"g10370"	0
"g10373"	0
"g10374"	0
"g10375"	0
"g10376"	0.677201
"g10377"	0
"g10383"	0
"g10385"	0
"g10392"	0
"g10394"	50.2427185
"g10395"	0
"g10397"	0
"g1040"	0
"g10400"	0
"g10401"	0.63857
"g10402"	0
"g10404"	0
"g1041"	0.638075
"g10410"	0
"g10411"	0
"g10412"	0
"g10413"	0
"g10415"	0
"g10416"	0
"g10417"	0
"g1042"	0
"g10420"	0.289916
"g10421"	0.960615
"g10422"	0
"g10423"	43.75
"g10425"	0
"g10426"	0
"g10427"	0.2604165
"g10428"	0.97561
"g10429"	0
"g10430"	0
"g10431"	0
"g10432"	0
"g10433"	0
"g10434"	0
"g10435"	0.968829
"g10436"	0
"g10437"	100
"g1044"	0
"g10442"	0
"g10443"	0.872093
"g10445"	0
"g10446"	0.9261665
"g10447"	1.044386
"g10448"	0.260417
"g10449"	0
"g10451"	0.8939305
"g10452"	0
"g10453"	0.374298
"g10454"	0
"g10455"	0
"g10456"	0.248756
"g10457"	0
"g10458"	0
"g10459"	0.128205
"g10460"	1.2048195
"g10461"	5.555556
"g10462"	0
"g10464"	0
"g10465"	0
"g10466"	0
"g10467"	0.561798
"g10468"	0
"g1047"	0
"g10470"	100
"g10472"	0
"g10473"	0.773196
"g10475"	1.3093245
"g10479"	0
"g1048"	0
"g10482"	0.461894
"g10483"	0
"g10484"	0.498221
"g10485"	0
"g10486"	26.0869565
"g10487"	86.0670195
"g10489"	0
"g10491"	0
"g10494"	0
"g10495"	2.202643
"g10498"	0.3565165
"g105"	1.1867615
"g1050"	0
"g10502"	0.36049
"g10504"	0.7649885
"g10505"	0.7785475
"g10506"	0.732078
"g10507"	7.0773565
"g1051"	0.310559
"g10510"	0
"g10514"	11.111111
"g10515"	0.211416
"g10516"	0.621118
"g10517"	0
"g10519"	0
"g10522"	0
"g10526"	0
"g10527"	0
"g1053"	0.331126
"g10530"	0
"g10531"	0.285171
"g10532"	0.420168
"g10534"	0.289436
"g10535"	0
"g10536"	0
"g10537"	0
"g10538"	0
"g10539"	0.507615
"g10540"	0
"g10541"	0
"g10548"	0
"g1055"	18.13381
"g10553"	0.607903
"g10555"	0
"g10556"	0
"g10557"	0
"g10558"	0
"g10559"	0
"g10560"	0
"g10561"	0
"g10562"	0
"g10567"	0
"g10568"	0.567108
"g1057"	0
"g10573"	0
"g10574"	0
"g10576"	0
"g10577"	0
"g10580"	0
"g10581"	0
"g10582"	0.363636
"g10583"	0.734619
"g10584"	0
"g10585"	25
"g1059"	0
"g10595"	2.5616955
"g10596"	0
"g10597"	0
"g10599"	1.053556
"g1060"	0.491055
"g10600"	0
"g10601"	26.495327
"g10602"	0.4431295
"g10605"	71.052632
"g10608"	0
"g10614"	0
"g10615"	0.119332
"g10616"	0
"g10618"	0.507614
"g10619"	0
"g10620"	0
"g10624"	0.595238
"g10627"	0
"g10629"	0
"g10632"	0.745342
