"geneID"	"percentMeth"
"g1"	0
"g10"	79.761905
"g100"	57.142857
"g1000"	0
"g10000"	0
"g10001"	0
"g10002"	0
"g10004"	100
"g10005"	0
"g10006"	0
"g10007"	0
"g10008"	0
"g10009"	0
"g1001"	0
"g10010"	0
"g10012"	0
"g10013"	0
"g10014"	0
"g10015"	0
"g10016"	0
"g10017"	0
"g10018"	0
"g10019"	0
"g1002"	0
"g10020"	0
"g10021"	0
"g10022"	0
"g10023"	0
"g10024"	0
"g10025"	0
"g10028"	0
"g1003"	0
"g10030"	12.5
"g10031"	5
"g10032"	4.761905
"g10033"	9.1666665
"g10034"	8.823529
"g10035"	0
"g10036"	13.333333
"g10037"	30.434783
"g10038"	0
"g10039"	0
"g1004"	0
"g10040"	0
"g10041"	56.470588
"g10042"	0
"g10043"	0
"g10044"	0
"g10045"	0
"g10046"	0
"g10047"	0
"g10048"	0
"g10049"	0
"g1005"	0
"g10050"	0
"g10051"	0
"g10052"	0
"g10053"	0
"g10054"	0
"g10055"	86.666667
"g10056"	0
"g10057"	0
"g10058"	0
"g10059"	0
"g1006"	0
"g10060"	0
"g10061"	0
"g10062"	65.7142855
"g10063"	58.125
"g10064"	0
"g10065"	0
"g10066"	0
"g10067"	0
"g10069"	0
"g1007"	0
"g10070"	0
"g10071"	0
"g10072"	0
"g10073"	0
"g10074"	0
"g10075"	0
"g10076"	0
"g10077"	0
"g10078"	0
"g10079"	0
"g1008"	45
"g10080"	0
"g10081"	0
"g10082"	0
"g10083"	6.7873305
"g10084"	0
"g10085"	0
"g10086"	0
"g10087"	0
"g10088"	0
"g10089"	0
"g1009"	0
"g10090"	0
"g10091"	0
"g10092"	0
"g10093"	0
"g10094"	0
"g10095"	0
"g10096"	0
"g10097"	0
"g10098"	0
"g10099"	0
"g101"	0
"g1010"	0
"g10100"	0
"g10101"	0
"g10102"	0
"g10103"	0
"g10104"	0
"g10105"	0
"g10106"	0
"g10107"	0
"g10108"	0
"g10109"	40
"g1011"	0
"g10110"	80
"g10111"	0
"g10112"	0
"g10113"	0
"g10114"	0
"g10115"	72.727273
"g10116"	85.714286
"g10117"	0
"g10118"	0
"g10119"	0
"g1012"	0
"g10120"	0
"g10121"	0
"g10122"	0
"g10123"	0
"g10124"	0
"g10125"	30
"g10126"	0
"g10127"	0
"g10128"	0
"g10129"	0
"g1013"	0
"g10130"	0
"g10131"	0
"g10132"	0
"g10133"	0
"g10134"	0
"g10135"	0
"g10136"	0
"g10137"	0
"g10138"	0
"g10139"	0
"g1014"	66.818182
"g10140"	0
"g10141"	0
"g10142"	50
"g10143"	63.6904765
"g10144"	78.571429
"g10145"	0
"g10146"	0
"g10147"	60.3896105
"g10148"	0
"g10149"	0
"g1015"	100
"g10150"	0
"g10151"	0
"g10152"	0
"g10153"	73.5042735
"g10154"	0
"g10155"	0
"g10157"	0
"g1016"	0
"g10160"	0
"g10161"	0
"g10162"	0
"g10163"	0
"g10164"	0
"g10165"	0
"g10166"	0
"g10167"	5.5555555
"g10168"	0
"g1017"	0
"g10170"	0
"g10171"	0
"g10172"	0
"g10173"	0
"g10174"	0
"g10176"	0
"g10177"	0
"g10178"	0
"g10179"	0
"g1018"	0
"g10180"	0
"g10186"	0
"g10187"	33.333333
"g10188"	0
"g10189"	0
"g1019"	0
"g10190"	0
"g10191"	0
"g10193"	0
"g10194"	0
"g10195"	0
"g10196"	0
"g10197"	0
"g10198"	0
"g10199"	0
"g102"	0
"g1020"	0
"g10200"	0
"g10201"	0
"g10202"	0
"g10203"	0
"g10204"	0
"g10205"	0
"g10206"	0
"g10207"	0
"g10208"	0
"g10209"	0
"g1021"	0
"g10210"	0
"g10211"	0
"g10212"	0
"g10213"	0
"g10214"	0
"g10215"	0
"g10216"	60
"g10217"	66.666667
"g10218"	43.478261
"g10219"	82.070707
"g1022"	0
"g10220"	73.3333335
"g10221"	0
"g10222"	0
"g10223"	63.636364
"g10224"	40.162037
"g10225"	50
"g10226"	0
"g10227"	27.222222
"g10228"	0
"g10229"	0
"g1023"	0
"g10230"	0
"g10231"	70.7386365
"g10232"	0
"g10233"	0
"g10234"	0
"g10235"	0
"g10236"	0
"g10237"	0
"g10238"	0
"g1024"	0
"g10240"	0
"g10241"	0
"g10242"	0
"g10243"	0
"g10244"	0
"g10245"	0
"g10246"	0
"g10247"	0
"g10248"	0
"g10249"	0
"g1025"	0
"g10250"	0
"g10251"	0
"g10252"	0
"g10253"	0
"g10254"	0
"g10255"	0
"g10257"	0
"g10258"	0
"g10259"	0
"g1026"	0
"g10260"	0
"g10261"	0
"g10262"	0
"g10263"	0
"g10264"	0
"g10265"	0
"g10266"	0
"g10267"	0
"g10268"	0
"g10269"	94.736842
"g1027"	0
"g10270"	0
"g10271"	0
"g10272"	0
"g10273"	0
"g10274"	100
"g10275"	37.5
"g10276"	0
"g10277"	0
"g10278"	43.75
"g10279"	0
"g1028"	0
"g10280"	89.010989
"g10281"	0
"g10282"	0
"g10283"	77.777778
"g10284"	66.666667
"g10285"	46.25
"g10286"	77.777778
"g10287"	93.75
"g10288"	0
"g10289"	0
"g1029"	0
"g10290"	0
"g10291"	0
"g10293"	14.2857145
"g10294"	0
"g10295"	0
"g10296"	0
"g10297"	0
"g10298"	0
"g10299"	0
"g103"	86.0576925
"g1030"	0
"g10300"	68.686869
"g10301"	50
"g10302"	0
"g10303"	0
"g10304"	0
"g10305"	0
"g10306"	0
"g10307"	0
"g10308"	0
"g10309"	22.222222
"g1031"	0
"g10310"	20
"g10312"	65.1515155
"g10313"	91.666667
"g10315"	45
"g10316"	65
"g10317"	0
"g10318"	0
"g10319"	83.333333
"g1032"	0
"g10320"	61.25
"g10321"	73.2142855
"g10322"	0
"g10323"	37.5
"g10324"	55
"g10325"	4.761905
"g10326"	66.666667
"g10327"	60
"g10328"	0
"g10329"	0
"g1033"	0
"g10330"	0
"g10331"	0
"g10332"	0
"g10333"	49.673913
"g10334"	0
"g10335"	0
"g10336"	0
"g10337"	61.111111
"g10338"	45.5592105
"g10339"	0
"g1034"	0
"g10340"	0
"g10341"	0
"g10342"	0
"g10343"	0
"g10345"	91.666667
"g10346"	50
"g10347"	100
"g10348"	50
"g10349"	11.858974
"g1035"	0
"g10350"	16.666667
"g10351"	85.714286
"g10352"	0
"g10353"	76.6666665
"g10354"	64.285714
"g10355"	0
"g10356"	0
"g10357"	0
"g10358"	53.5714285
"g10359"	40
"g1036"	0
"g10360"	0
"g10361"	0
"g10362"	0
"g10363"	20
"g10364"	0
"g10365"	0
"g10366"	40
"g10367"	50
"g10368"	0
"g10369"	68.75
"g1037"	0
"g10370"	54.5833335
"g10371"	48.5380115
"g10372"	0
"g10373"	0
"g10374"	0
"g10375"	0
"g10376"	0
"g10377"	0
"g10378"	33.333333
"g10379"	89.166667
"g1038"	0
"g10380"	100
"g10381"	0
"g10382"	75
"g10383"	0
"g10384"	0
"g10385"	0
"g10386"	95
"g10388"	3.125
"g10389"	0
"g1039"	0
"g10390"	61.538462
"g10391"	0
"g10394"	0
"g10395"	0
"g10397"	0
"g10398"	0
"g10399"	0
"g104"	26.6666665
"g1040"	0
"g10400"	0
"g10401"	0
"g10402"	0
"g10403"	0
"g10404"	0
"g10408"	60
"g10409"	0
"g1041"	0
"g10410"	0
"g10411"	0
"g10412"	0
"g10413"	0
"g10414"	0
"g10415"	0
"g10416"	0
"g10417"	0
"g10418"	0
"g10419"	0
"g1042"	0
"g10420"	0
"g10421"	0
"g10422"	0
"g10423"	0
"g10424"	0
"g10425"	0
"g10426"	0
"g10427"	0
"g10428"	0
"g10429"	0
"g1043"	0
"g10430"	0
"g10431"	0
"g10432"	0
"g10433"	0
"g10434"	0
"g10435"	0
"g10436"	0
"g10437"	20
"g10439"	0
"g1044"	0
"g10440"	96.153846
"g10441"	16.666667
"g10442"	0
"g10443"	0
"g10444"	0
"g10446"	0
"g10447"	0
"g10448"	0
"g10449"	0
"g1045"	0
"g10451"	0
"g10452"	0
"g10453"	0
"g10454"	0
"g10455"	0
"g10456"	0
"g10457"	0
"g10458"	0
"g10459"	0
"g1046"	0
"g10460"	0
"g10461"	0
"g10462"	0
"g10463"	0
"g10464"	0
"g10465"	0
"g10466"	0
"g10467"	0
"g10468"	0
"g10469"	55.5555555
"g1047"	0
"g10470"	80.909091
"g10471"	0
"g10472"	0
"g10473"	0
"g10474"	0
"g10475"	0
"g10476"	0
"g10477"	0
"g10478"	80
"g10479"	0
"g1048"	0
"g10480"	0
"g10481"	42.857143
"g10482"	0
"g10483"	0
"g10484"	0
"g10485"	0
"g10486"	55.555556
"g10487"	62.352941
"g10488"	63.636364
"g10489"	0
"g1049"	0
"g10490"	0
"g10491"	0
"g10492"	0
"g10493"	33.3333335
"g10494"	0
"g10495"	0
"g10496"	0
"g10497"	0
"g10498"	0
"g10499"	0
"g105"	0
"g1050"	0
"g10500"	93.333333
"g10501"	0
"g10502"	0
"g10503"	0
"g10504"	0
"g10505"	0
"g10506"	2.8373015
"g10507"	0
"g10508"	0
"g10509"	0
"g1051"	0
"g10512"	0
"g10514"	0
"g10515"	0
"g10516"	0
"g10517"	0
"g10518"	0
"g10519"	0
"g1052"	0
"g10520"	36.3636365
"g10522"	0
"g10523"	0
"g10524"	0
"g10526"	0
"g10527"	0
"g10528"	0
"g10529"	0
"g1053"	0
"g10530"	0
"g10531"	0
"g10532"	0
"g10533"	0
"g10534"	0
"g10535"	0
"g10536"	0
"g10537"	0
"g10538"	0
"g10539"	0
"g1054"	7.1794875
"g10540"	0
"g10541"	0
"g10542"	0
"g10543"	0
"g10544"	0
"g10545"	0
"g10546"	0
"g10548"	0
"g10549"	0
"g1055"	20
"g10550"	0
"g10551"	0
"g10552"	0
"g10553"	0
"g10554"	0
"g10555"	0
"g10556"	0
"g10557"	0
"g10558"	0
"g10559"	0
"g1056"	0
"g10560"	0
"g10561"	0
"g10562"	0
"g10563"	0
"g10564"	0
"g10565"	0
"g10566"	38.095238
"g10567"	0
"g10568"	4.347826
"g10569"	44.444444
"g1057"	0
"g10570"	33.370412
"g10571"	16.6666665
"g10572"	0
"g10573"	2.5641025
"g10574"	0
"g10575"	0
"g10576"	0
"g10577"	0
"g10578"	25
"g10579"	66.666667
"g1058"	0
"g10580"	0
"g10581"	0
"g10582"	0
"g10583"	0
"g10584"	0
"g10585"	0
"g10586"	0
"g10587"	0
"g10588"	0
"g10589"	0
"g1059"	0
"g10590"	0
"g10591"	0
"g10592"	0
"g10593"	0
"g10594"	0
"g10595"	0
"g10596"	0
"g10597"	0
"g10598"	40.4761905
"g10599"	0
"g106"	0
"g1060"	0
"g10600"	0
"g10601"	0
"g10602"	0
"g10603"	0
"g10604"	0
"g10605"	50
"g10608"	0
"g1061"	0
"g10610"	0
"g10611"	85.714286
"g10612"	27.8846155
"g10613"	0
"g10614"	0
"g10615"	0
"g10616"	0
"g10617"	0
"g10618"	0
"g10619"	0
"g1062"	100
"g10620"	0
"g10621"	0
"g10622"	0
"g10623"	91
"g10624"	0
"g10627"	0
"g10628"	0
"g10629"	0
"g1063"	40
"g10630"	0
