gene_id,1101,1548,1628
MSTRG.1,1,6,15
g21533,16,39,40
g21534,14,24,38
g21535,22,34,42
MSTRG.7,2,4,5
MSTRG.8,7,28,6
MSTRG.3,0,12,0
MSTRG.2,43,70,82
g21540,13,8,11
g21539,0,22,23
g21541,13,0,0
g21543,10,14,13
g21544,4,2,2
g21547,1,1,1
g21546,25,6,6
MSTRG.5,7,13,25
MSTRG.6,17,45,59
MSTRG.11,0,50,17
MSTRG.12,0,10,3
MSTRG.10,18,38,53
MSTRG.4,7,16,15
g21554,0,14,12
MSTRG.9,5,26,4
g21557,8,8,9
g21556,0,11,0
MSTRG.13,42,42,40
MSTRG.15,87,214,133
MSTRG.16,18,17,15
MSTRG.17,15,65,30
MSTRG.14,59,129,64
MSTRG.18,31,29,35
MSTRG.19,71,74,72
MSTRG.20,40,78,50
MSTRG.22,14,17,32
MSTRG.21,8,17,32
MSTRG.23,15,21,15
g21564,41,89,65
g21565,16,17,21
MSTRG.24,10,24,20
MSTRG.25,6,8,11
MSTRG.26,45,92,72
MSTRG.27,21,32,22
MSTRG.29,16,25,15
MSTRG.28,441,837,585
MSTRG.32,10,12,0
MSTRG.33,81,108,122
g21574,80,93,165
g21575,0,0,9
MSTRG.30,21,24,7
MSTRG.31,22,17,17
MSTRG.34,20,10,19
g21579,9,28,15
MSTRG.36,14,18,30
MSTRG.35,33,62,36
MSTRG.38,6,12,12
MSTRG.37,39,53,36
MSTRG.39,8,10,9
MSTRG.40,15,13,23
g21583,13,19,22
MSTRG.42,13,41,54
MSTRG.41,18,10,6
MSTRG.44,62,63,101
MSTRG.43,3,29,9
g21591,0,0,30
MSTRG.45,18,14,16
MSTRG.46,45,43,83
MSTRG.47,12,10,10
MSTRG.48,28,30,52
MSTRG.52,93,100,98
g21596,51,52,49
g21597,24,20,30
MSTRG.50,11,29,9
g21600,25,0,9
MSTRG.49,30,62,20
MSTRG.53,400,0,596
MSTRG.51,30,0,11
MSTRG.58,71,89,83
MSTRG.59,5,1,18
MSTRG.54,19,26,27
MSTRG.55,24,20,30
MSTRG.56,77,128,106
MSTRG.57,36,59,41
MSTRG.70,82,161,136
MSTRG.71,40,44,19
MSTRG.60,38,21,25
MSTRG.62,8,13,24
MSTRG.61,5,13,24
MSTRG.64,24,23,34
MSTRG.63,33,13,73
MSTRG.65,15,24,25
MSTRG.66,37,31,22
MSTRG.67,10,5,7
MSTRG.69,60,97,69
MSTRG.68,10,6,19
g21620,90,169,139
MSTRG.72,22,22,39
MSTRG.73,23,8,4
MSTRG.76,23,26,29
g21622,39,36,47
MSTRG.74,24,27,35
MSTRG.75,22,3,5
MSTRG.78,53,45,45
MSTRG.77,15,3,4
MSTRG.79,15,10,24
g21627,10,0,16
MSTRG.80,14,6,16
MSTRG.81,50,91,90
MSTRG.85,153,313,296
MSTRG.83,19,45,37
g21630,31,33,22
g21631,7,24,14
