Sample Number/Tube Label,CD Index #,Species,Plug.ID,GTF,Genome Assembly
1041,NA,Pocillopora acuta,PA_1041,,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
1471,NA,Pocillopora acuta,PA_1471,,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
1637,NA,Pocillopora acuta,PA_1637,,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
1101,NA,Montipora capitata,MC_1101,,http://cyanophora.rutgers.edu/montipora/
1548,NA,Montipora capitata,MC_1548,,http://cyanophora.rutgers.edu/montipora/
1628,NA,Montipora capitata,MC_1628,,http://cyanophora.rutgers.edu/montipora/
