Sample.ID,Species,Method
Meth1,P. acuta,WGBS
Meth2,P. acuta,WGBS
Meth3,P. acuta,WGBS
Meth4,P. acuta,RRBS
Meth5,P. acuta,RRBS
Meth6,P. acuta,RRBS
Meth7,P. acuta,MBDBS
Meth8,P. acuta,MBDBS
Meth9,P. acuta,MBDBS
Meth10,M. capitata,WGBS
Meth11,M. capitata,WGBS
Meth12,M. capitata,WGBS
Meth13,M. capitata,RRBS
Meth14,M. capitata,RRBS
Meth15,M. capitata,RRBS
Meth16,M. capitata,MBDBS
Meth17,M. capitata,MBDBS
Meth18,M. capitata,MBDBS
