Sample Number/Tube Label,CD Index #,Species,Plug.ID,GTF,Genome Assembly
1,7,Pocillopora acuta,PA_1041,Sample1_merged2.gtf,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
2,8,Pocillopora acuta,PA_1471,Sample2_merged2.gtf,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
3,15,Pocillopora acuta,PA_1637,Sample3_merged2.gtf,http://ihpe.univ-perp.fr/telechargement/Data_to_downoload.rar
4,16,Montipora capitata,MC_1101,Sample4_merged2.gtf,http://cyanophora.rutgers.edu/montipora/
5,23,Montipora capitata,MC_1548,Sample5_merged2.gtf,http://cyanophora.rutgers.edu/montipora/
6,24,Montipora capitata,MC_1628,Sample6_merged2.gtf,http://cyanophora.rutgers.edu/montipora/
