,M. capitata,P. acuta
logLik,16.6004304121005,3.94327751864256
AIC,-25.200860824201,0.113444962714875
BIC,-24.4119625148562,0.902343272059754
deviance,0.0131723278468952,0.21938296403998
nobs,9,9
df_Method,2,2
df_Residuals,6,6
sumsq_Method,0.501531622026702,0.529483181111919
sumsq_Residuals,0.0131723278468952,0.21938296403998
meansq_Method,0.250765811013351,0.26474159055596
meansq_Residuals,0.00219538797448254,0.0365638273399967
statistic_Method,114.223915739749,7.24053278378661
p.value_Method,1.67615852743005e-05,0.0251417849543601
