grp,logLik,AIC,BIC,deviance,nobs,df_convr_method,df_Residuals,sumsq_convr_method,sumsq_Residuals,meansq_convr_method,meansq_Residuals,statistic_convr_method,p.value_convr_method
1,12.3585956275868,-18.7171912551736,-19.3419128474894,0.00570935356336026,6,1,4,0.376897468286039,0.00570935356336026,0.376897468286039,0.00142733839084006,264.056141630308,8.39214176447985e-05
2,4.45418773343489,-2.90837546686977,-3.53309705918561,0.0795915902642636,6,1,4,0.00035561252393023,0.0795915902642636,0.00035561252393023,0.0198978975660659,0.0178718642383955,0.900107302468875
3,8.45555060103649,-10.911101202073,-11.5358227943888,0.0209705865364784,6,1,4,0.000358954020757988,0.0209705865364784,0.000358954020757988,0.0052426466341196,0.0684680936574829,0.806501849080201
4,0.197806590630746,5.60438681873851,4.97966522642267,0.328883028670186,6,1,4,0.546693837571542,0.328883028670186,0.546693837571542,0.0822207571675465,6.64909758076673,0.0614191558102173
5,5.07302549307139,-4.14605098614277,-4.77077257845861,0.0647561828537909,6,1,4,1.68134185463335e-05,0.0647561828537909,1.68134185463335e-05,0.0161890457134477,0.00103856761194807,0.975835116889086
6,1.84399185343005,2.3120162931399,1.68729470082406,0.189990435355183,6,1,4,0.0222491014983903,0.189990435355183,0.0222491014983903,0.0474976088387958,0.468425717469325,0.531308425485639
