totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
Meth1	5546051	110364	1.98995645730629	367019	6.61766363129369	5068668	91.3923799114
Meth2	6358722	126440	1.98844988033759	345887	5.43956788801272	5886395	92.5719822316497
Meth3	5866786	124819	2.12755331454053	385346	6.56826412280932	5356621	91.3041825626502
Meth4	1835561	31047	1.69141750124349	137700	7.50179372954644	1666814	90.8067887692101
Meth5	1451229	30345	2.09098632951795	64837	4.4677304546698	1356047	93.4412832158122
Meth6	1517358	26617	1.75416744103896	89246	5.88167064067939	1401495	92.3641619182816
Meth7	2640625	258222	9.77882130177515	296059	11.2117017751479	2086344	79.0094769230769
Meth8	539008	213342	39.5804886012824	80086	14.858035502256	245580	45.5614758964617
Meth9	2732607	255370	9.34528821744217	337855	12.3638342432703	2139382	78.2908775392876
