"","PolyA_1101","PolyA_1548","PolyA_1628","RiboDep_1101","RiboDep_1548","RiboDep_1628"
"g21533",5,0,1,16,39,40
"g21540",13,6,22,13,8,11
"g21543",2,0,11,10,14,13
"g21546",0,0,0,25,6,6
"g21560",12,9,0,71,74,72
"g21559",14,0,2,31,29,35
"g21564",65,48,165,41,89,65
"g21566",2,0,0,10,24,20
"g21574",21,0,16,80,93,165
"g21590",8,12,10,18,14,16
"g21595",1207,522,1071,93,100,98
"g21597",0,0,4,24,20,30
"g21598",2,0,0,11,29,9
"g21607",2,2,0,77,128,106
"g21605",1,19,6,19,26,27
"g21606",61,36,77,24,20,30
"g21608",51,40,30,36,59,41
"g21603",955,512,692,71,89,83
"g21620",38,2,21,90,169,139
"g21623",72,15,25,24,27,35
"g21629",94,123,147,50,91,90
"g21631",4,8,3,7,24,14
"g21633",265,76,98,93,122,118
"g21641",551,392,331,43,56,56
"g21645",3416,2689,1751,205,415,345
"g21654",13,6,28,7,21,21
"g21671",25,16,59,24,36,24
"g21678",4,4,2,69,91,71
"g21682",2,0,0,15,37,11
"g21687",24,6,19,24,46,22
"g21686",1730,1176,1334,120,194,159
"g21702",1462,797,742,90,163,120
"g21704",2305,3020,1903,215,355,265
"g21707",0,0,0,9,11,9
"g21709",182,82,106,50,80,67
"g21711",5,2,1,10,15,9
"g21715",9,2,0,88,131,122
"g21717",47,0,43,45,161,121
"g21728",0,11,0,24,44,40
"g21731",29,36,57,31,34,47
"g21734",0,0,0,29,45,35
"g21735",0,0,0,18,24,7
"g21736",0,10,8,20,41,18
"g21742",102,10,137,54,79,48
"g21744",171,79,120,38,48,35
"g21752",390,300,392,38,52,49
"g21777",0,1,1,12,31,34
"g21795",7,0,0,31,21,46
"g21799",4,7,0,12,50,34
"g21810",1,0,0,3,11,10
"g21822",1,0,0,5,16,20
"g21823",6,0,0,40,63,90
"g21824",2,0,2,18,34,44
"g21833",0,0,0,10,5,5
"g21834",0,0,0,7,15,17
"g21836",0,0,0,5,11,13
"g21837",0,0,0,13,64,44
"g21840",0,0,3,3,10,13
"g21842",0,0,0,2,14,16
"g21843",0,0,4,17,29,20
"g21844",0,0,0,20,16,17
"g21845",0,0,0,1,17,18
"g21848",0,0,0,26,62,22
"g21852",0,0,0,29,40,26
"g21857",0,0,0,8,1,15
"g21861",0,0,0,15,29,10
"g21863",0,0,0,6,4,4
"g21870",0,0,0,28,27,30
"g21873",0,0,0,10,24,19
"g21874",0,0,0,5,17,5
"g21875",0,0,0,10,17,23
"g21838",15,5,7,26,44,52
"g21856",30,9,19,28,32,34
"g21864",3,15,26,29,34,22
"g21867",19,3,0,28,58,56
"g21868",20,2,0,24,39,47
"g21881",174,177,142,65,55,70
"g21886",7,14,12,8,13,15
"g21893",11,0,0,33,58,39
"g21898",19,17,3,53,113,95
"g21902",80,45,152,37,50,49
"g21912",3,0,0,9,24,15
"g21913",4,8,6,28,53,26
"g21914",9,13,9,42,73,69
"g21915",19,5,10,8,15,21
"g21916",7,0,5,55,96,164
"g21922",2,0,1,8,8,6
"g21921",9,14,10,19,36,58
"g21924",4,53,10,36,149,148
"g21927",1,10,10,4,27,36
"g21934",1,0,0,13,19,23
"g21926",13,19,22,34,142,148
"g21940",23,10,0,16,27,20
"g21947",0,0,0,12,40,28
"g21964",3,0,0,5,39,23
"g21973",3,1,2,44,83,72
"g21995",14,0,0,11,26,19
"g21999",26,4,10,49,118,70
"g22000",12,3,2,30,61,51
"g22017",7,5,0,16,26,13
"g22014",14,0,0,16,57,31
"g22016",9,0,0,13,24,25
"g22020",0,3,0,17,54,43
"g22027",4,0,1,17,27,10
"g22039",0,0,0,15,29,23
"g22046",1,2,3,4,18,22
"g22044",4,36,19,9,44,38
"g22055",1,4,0,21,50,31
"g22052",24,46,40,12,62,47
"g22057",9,0,0,40,103,69
"g22056",6,0,0,13,50,46
"g22079",3,2,0,7,32,14
"g22080",1,0,0,6,6,17
"g22073",0,0,0,11,61,45
"g22095",64,13,5,33,108,65
"g22105",1,0,0,13,36,18
"g22109",1,3,0,5,14,3
"g22106",0,0,0,7,20,23
"g22110",6,0,0,23,27,38
"g22111",0,1,1,117,123,131
"g22114",0,0,0,17,28,8
"g22113",13,0,0,17,22,3
"g22115",18,0,0,24,58,26
"g22119",3,0,0,28,47,46
"g22121",1,0,0,58,33,35
"g22134",4,3,0,40,73,76
"g22140",3,0,15,70,97,118
