"","PolyA_1101","PolyA_1548","PolyA_1628","RiboDep_1101","RiboDep_1548","RiboDep_1628"
"g22122",0,0,0,8,12,19
"g22124",0,0,0,26,49,54
"g22125",0,0,0,77,84,95
"g22126",0,0,0,19,26,27
"g22127",0,0,0,17,26,32
"g22128",0,0,0,28,35,30
"g22123",11,13,14,21,33,52
"g22129",19,0,16,86,112,130
"g22165",4,0,0,66,197,86
"g22167",5,2,0,10,27,12
"g22168",4,3,0,9,31,16
"g22175",0,0,0,26,45,52
"g22182",0,0,0,14,58,14
"g22183",9,0,2,11,33,7
"g22190",10,1,10,23,52,63
"g22197",55,2,5,12,45,50
"g22205",0,0,0,19,48,34
"g22202",10,0,5,25,65,52
"g22203",8,0,7,0,53,56
"g22210",17,1,14,32,43,60
"g22212",17,8,4,67,109,97
"g22214",25,18,0,55,95,127
"g22221",2,1,0,9,20,46
"g22223",2,21,12,16,64,35
"g22241",0,0,0,9,16,27
"g22240",0,0,0,16,45,50
"g22244",2,4,0,10,21,9
"g22248",25,12,17,25,63,38
"g22255",90,17,2,28,48,53
"g22293",3,3,10,48,53,42
"g22294",3,3,3,38,43,32
"g22279",0,0,0,8,27,16
"g22280",0,4,0,11,26,21
"g22271",457,240,189,78,164,127
"g22299",0,0,0,9,28,14
"g22296",1412,1545,850,80,160,169
"g22297",3431,1753,1739,169,333,288
"g22304",63,61,93,75,82,76
"g22307",0,0,4,19,47,27
"g22308",6,13,4,15,35,12
"g22309",92,13,17,24,38,16
"g22310",1,0,5,5,32,13
"g22311",67,190,79,92,202,107
"g22314",84,63,296,155,212,173
"g22315",1344,701,761,78,161,120
"g22320",4,3,0,9,0,23
"g22323",0,0,0,27,49,34
"g22332",3,0,14,15,19,41
"g22330",1343,995,910,90,137,131
"g22337",11,6,15,42,79,65
"g22339",48,83,65,34,40,47
"g22333",597,219,326,32,39,45
"g22349",0,0,3,7,22,23
"g22351",1535,1058,842,113,187,134
"g22352",0,0,0,16,125,25
"g22355",0,0,0,35,50,41
"g22359",101,56,107,47,64,53
"g22360",20,48,81,30,69,69
"g22362",0,0,0,104,247,105
"g22372",9,6,6,46,59,20
"g22376",9,0,6,0,30,32
"g22382",12,0,5,51,153,150
"g22385",0,0,0,26,72,60
"g22386",0,0,0,6,25,17
"g22395",300,197,279,20,24,35
"g22390",23,2,3,15,18,28
"g22393",531,319,425,31,57,52
"g22421",34,23,16,14,51,23
"g22403",0,0,0,12,42,40
"g22399",1885,1316,1192,136,213,176
"g22408",37,3,8,11,28,12
"g22430",0,0,0,10,30,31
"g22431",44,15,14,48,64,66
"g22426",69,85,117,34,62,66
"g22427",42,23,45,21,34,17
"g22438",8,17,38,79,119,97
"g22442",3,2,10,43,47,39
"g22447",479,251,295,24,53,37
"g22463",0,0,0,10,21,12
"g22464",0,0,0,9,15,25
"g22465",0,0,0,18,24,17
"g22466",23,29,9,32,106,49
"g22471",29,33,34,20,25,28
"g22474",11,8,15,38,32,20
"g22478",50,29,76,25,42,61
"g22481",0,0,0,31,56,34
"g22456",103,44,91,52,69,49
"g22485",9,21,0,18,60,26
"g22484",129,83,77,36,76,40
"g22522",6,6,11,3,7,8
"g22525",5,3,5,9,24,18
"g22526",83,30,62,16,27,32
"g22505",0,0,0,6,9,6
"g22513",0,0,4,28,52,57
"g22490",318,182,178,87,136,108
"g22496",80,93,63,46,71,59
"g22501",1157,700,574,64,85,92
"g22508",140,26,73,57,129,110
"g22538",201,81,113,40,74,69
"g22539",0,0,0,23,21,19
"g22549",23,18,15,10,32,28
"g22562",0,0,0,8,6,23
"g22565",4,0,0,5,19,11
"g22578",0,0,0,3,4,10
"g22572",108,83,75,78,131,123
"g22576",52,8,14,23,13,24
"g22577",220,164,102,56,76,104
"g22590",0,0,0,9,21,24
"g22593",0,0,0,12,25,17
"g22594",0,0,0,30,79,50
"g22587",340,315,169,116,137,100
"g22588",6171,4081,2827,411,519,537
"g22589",71,22,88,36,62,64
"g22591",132,94,53,31,86,79
"g22592",20,17,0,19,75,50
"g22602",4,10,0,33,75,24
"g22604",121,73,88,60,80,97
"g22613",2,0,0,0,14,7
"g22612",20,24,32,23,78,55
"g22619",86,49,70,28,44,36
"g22620",7,16,21,18,37,22
"g22624",1093,577,691,69,137,116
"g22630",1,3,13,13,29,34
"g22632",0,0,0,27,41,43
"g22633",0,0,0,6,14,18
"g22636",0,0,0,22,36,48
"g22637",0,0,0,14,20,19
"g22640",0,0,0,15,33,35
"g22641",0,0,0,13,16,13
"g22643",0,0,0,10,18,19
"g22648",0,0,0,18,53,28
"g22650",0,0,0,11,18,24
"g22651",0,0,0,14,15,20
"g22656",0,0,0,10,46,39
"g22658",0,0,0,15,34,20
"g22634",7,2,13,19,48,34
"g22635",1,1,0,2,6,3
"g22644",22,11,31,63,61,105
"g22645",50,0,6,23,33,20
"g22646",24,0,11,14,18,12
"g22647",22,0,5,10,14,15
"g22649",3,0,12,7,17,22
"g22654",3,0,1,22,42,33
"g22655",17,0,15,36,52,48
"g22663",46,58,37,43,51,24
"g22687",208,102,118,117,179,113
"g22688",17,0,11,31,46,31
"g22713",26,17,4,62,40,84
"g22714",3,0,0,43,25,48
"g22716",1,2,8,10,15,8
"g22715",5,4,15,7,14,13
"g22698",0,0,0,10,15,21
"g22699",12,29,40,7,23,28
"g22721",2,1,1,8,12,14
"g22717",8,5,0,3,13,21
"g22718",0,0,0,26,52,51
"g22723",0,2,0,9,7,8
"g22726",0,0,0,6,3,6
"g22722",13,0,0,23,33,25
"g22724",2,0,1,5,11,16
"g22725",12,0,6,13,13,16
"g22739",2,0,0,11,30,30
"g22736",0,0,0,10,14,7
"g22737",0,0,0,9,10,11
"g22743",14,25,72,19,72,45
"g22749",0,0,9,23,10,14
"g22753",0,14,0,27,20,28
"g22759",9,0,0,18,28,0
"g22764",0,0,3,6,18,13
"g22765",0,0,3,9,37,28
"g22760",21,7,11,29,35,35
"g22763",2,12,11,32,79,59
"g22766",4,6,12,37,40,35
"g22771",14,5,17,17,42,34
"g22779",0,0,0,21,46,8
"g22780",0,0,0,6,29,4
"g22783",0,4,2,11,12,3
"g22785",0,0,0,16,15,16
"g22786",0,0,0,13,19,8
"g22789",0,0,0,15,19,13
"g22790",0,0,0,9,10,15
"g22791",0,0,0,17,36,6
"g22796",0,3,0,36,67,50
"g22797",0,0,0,11,22,40
"g22778",9,3,0,4,16,6
"g22782",19,9,10,78,163,158
"g22787",358,136,111,151,130,96
"g22792",700,210,113,220,181,143
"g22795",124,53,33,62,58,37
"g22799",454,226,160,212,305,304
"g22801",9,0,2,15,14,11
"g22809",2,0,0,13,12,9
"g22812",5,8,0,43,148,51
"g22819",187,66,90,75,117,76
"g22820",47,65,64,89,149,156
"g22823",73,36,87,57,98,79
"g22826",32,15,32,67,78,78
"g22824",128,160,86,105,166,151
"g22829",304,187,166,53,105,102
"g22846",6,5,3,5,7,9
"g22857",3,0,0,4,12,13
"g22882",1,0,0,30,31,50
"g22903",4,3,1,31,18,41
"g22949",0,0,0,17,20,17
"g22950",0,0,0,5,29,15
"g22951",0,0,0,16,33,19
"g22953",0,1,0,6,1,6
"g22942",10,0,0,48,39,57
"g22943",2,0,0,12,16,20
"g22952",25,1,5,60,76,82
"g22954",1,1,1,3,10,7
"g22957",16,4,2,11,29,21
"g22962",6,4,0,12,21,25
"g22961",107,29,38,12,45,29
"g22969",11,1,3,22,20,21
"g22975",381,86,109,75,142,111
"g22980",21,8,15,20,37,26
"g22988",58,49,36,35,15,30
"g22992",34,17,28,14,32,23
"g23001",3,3,10,107,125,106
"g23008",7,0,14,13,25,21
"g23013",36,29,5,71,144,111
"g23021",58,24,69,19,47,28
"g23026",947,625,616,68,82,76
"g23027",4,0,0,23,38,0
"g23032",0,0,0,25,16,18
"g23033",10,3,0,16,34,18
"g23040",4,3,0,53,37,174
"g23038",215,141,178,53,57,54
"g23047",724,567,642,69,68,96
"g23063",83,8,41,43,50,38
"g23064",22,0,10,16,36,18
"g23065",42,21,42,38,48,39
"g23075",0,2,5,33,31,35
"g23077",0,0,3,14,8,12
"g23078",3,0,0,11,19,24
"g23094",8,0,8,27,43,22
"g23050",0,0,0,24,17,14
"g23049",1360,1021,1099,110,116,138
"g23084",0,0,0,34,47,43
"g23095",0,0,5,109,113,132
"g23100",0,0,2,19,33,30
"g23126",3,0,0,33,47,16
"g23129",80,28,110,273,336,199
"g23137",0,3,0,6,10,5
"g23135",3,0,0,18,24,31
"g23140",13,19,45,16,33,34
"g23145",1,0,0,19,7,14
"g23146",5,0,0,50,71,61
"g23149",14,48,10,27,41,49
"g23151",0,0,4,42,72,49
"g23150",91,117,70,30,63,56
"g23170",16,7,32,30,32,35
"g23163",0,0,0,34,21,26
"g23164",0,0,0,26,33,33
"g23175",0,0,0,16,40,20
"g23181",5,11,0,33,34,12
"g23185",10,8,6,56,94,62
"g23186",6,9,8,44,66,37
"g23190",14,10,2,10,11,9
"g23191",84,76,19,48,50,62
"g23193",13,2,2,12,43,23
"g23194",24,29,25,37,63,42
"g23198",13,11,12,20,53,42
"g23201",4,0,1,16,59,31
"g23207",0,0,0,29,39,54
"g23224",5,0,0,24,50,23
"g23213",10,3,2,77,117,133
"g23212",70,55,87,19,34,32
"g23225",427,278,326,27,52,29
"g23227",8,5,8,65,91,103
"g23229",4,0,1,14,25,23
"g23238",28,23,37,32,55,38
"g23243",2,0,0,20,20,18
"g23245",8,0,0,86,94,68
"g23246",4,15,2,55,80,71
"g23247",2,0,2,17,27,23
"g23248",3,0,0,14,23,22
"g23254",5,6,1,17,31,26
"g23260",4,2,0,15,33,20
"g23268",3,0,0,11,16,15
"g23264",8,0,0,40,85,78
"g23265",1,0,0,6,14,10
"g23263",0,0,0,1,5,8
"g23262",33,23,23,23,62,45
"g23269",17,17,15,23,47,34
"g23280",42,66,65,47,83,42
"g23274",4210,3008,1941,215,379,324
"g23291",0,0,0,28,17,10
"g23295",0,0,5,18,41,23
"g23290",11,8,34,19,34,41
"g23292",58,32,47,27,74,53
"g23293",2,0,0,12,10,8
"g23294",2,0,4,10,60,26
"g23296",22,10,19,39,44,33
"g23301",10,4,10,0,18,13
"g23313",8,0,2,16,4,32
"g23314",0,5,0,27,29,0
"g23317",0,0,0,43,16,3
"g23323",14,25,15,52,133,101
"g23332",62,8,11,48,80,69
"g23339",3,0,1,19,56,45
"g23338",6,0,0,22,50,25
"g23340",4,0,0,32,54,41
"g23347",12,68,16,72,121,112
"g23348",29,79,38,63,147,86
"g23351",2,0,0,23,26,17
"g23366",1,0,0,43,32,41
"g23364",0,0,0,28,60,20
"g23367",2,0,0,28,30,34
"g23371",7,6,0,48,66,92
"g23385",1,0,0,9,13,22
"g23386",0,0,2,26,29,53
"g23388",0,0,1,8,14,27
"g23412",3,2,0,53,125,63
"g23452",0,0,7,33,70,30
"g23454",23,17,11,48,105,37
"g23446",0,0,0,10,33,26
"g23447",0,0,0,84,131,81
"g23449",0,0,0,35,61,34
"g23450",0,0,2,64,53,65
"g23442",55,20,33,26,30,16
"g23443",1,9,14,24,47,9
"g23444",11,7,10,13,32,21
"g23445",11,5,16,14,36,26
"g23448",3,0,0,27,74,48
"g23481",1,0,0,11,12,14
"g23485",0,0,0,16,23,10
"g23486",0,9,7,32,68,40
"g23484",25,19,19,91,121,98
"g23490",22,7,0,11,35,18
"g23493",14,7,0,17,18,13
"g23498",175,139,93,113,177,165
"g23466",0,0,0,11,20,15
"g23467",0,0,0,15,26,11
"g23468",0,7,0,18,17,10
"g23464",479,135,174,153,267,221
"g23470",8,7,12,39,67,60
"g23473",1,0,5,18,51,43
"g23474",20,17,25,10,8,18
"g23475",24,22,2,71,82,38
"g23517",0,0,0,6,10,13
"g23518",2,3,8,21,19,18
"g23519",1,0,4,3,5,10
"g23511",489,411,450,33,66,64
"g23530",130,121,142,29,65,60
"g23541",2,0,6,9,1,14
"g23552",1,0,0,9,42,11
"g23555",32,0,9,9,20,15
"g23567",1,0,0,10,19,9
"g23568",1,1,5,10,10,23
"g23558",34,25,12,97,175,136
"g23581",0,0,0,16,30,15
"g23595",3,2,6,38,39,26
"g23596",4,2,2,38,44,42
"g23587",199,159,25,57,99,66
"g23607",26,0,5,20,41,43
"g23634",6,0,0,63,118,37
"g23637",3,0,0,93,112,50
"g23646",3,1,2,20,57,21
"g23670",8,3,0,67,179,81
"g23669",18,0,0,50,126,71
"g23672",1132,825,754,74,110,113
"g23677",4,0,0,8,13,12
"g23681",4,0,1,9,24,22
"g23680",38,0,2,67,206,116
"g23687",16,7,4,43,83,44
"g23688",2,0,0,14,24,27
"g23691",96,38,91,96,122,133
"g23692",8,10,20,19,12,19
"g23693",33,42,54,75,107,99
"g23694",23,13,14,22,16,26
"g23711",26,41,66,56,75,97
"g23715",13,29,6,15,39,48
"g23720",38,18,8,31,38,22
"g23713",36,14,76,45,52,57
"g23726",0,8,0,45,53,41
"g23724",49,42,46,34,31,25
"g23752",19,24,10,9,29,20
"g23743",0,0,0,11,24,26
"g23747",0,0,0,28,13,34
"g23740",2,3,0,20,46,40
"g23746",152,34,108,39,57,58
"g23757",3,0,2,28,90,30
"g23758",15,15,0,67,311,138
"g23763",0,0,0,33,83,36
"g23770",37,14,35,47,40,52
"g23792",5,6,4,2,14,8
"g23795",6,0,0,33,0,11
"g23796",18,6,6,8,18,17
"g23804",4,0,0,19,21,31
"g23799",0,10,0,19,26,17
"g23820",4,8,17,11,19,20
"g23838",69,65,41,38,51,61
"g23839",80,40,37,25,35,27
"g23840",505,211,391,26,50,50
"g23841",90,12,53,29,29,65
"g23867",541,569,556,55,81,58
"g23868",123,62,73,25,67,66
"g23879",67,310,227,121,205,166
"g23886",21,12,109,37,67,46
"g23887",6,9,6,18,60,39
"g23888",19,23,5,24,42,32
"g23897",598,358,408,44,57,64
"g23901",44,10,9,35,69,48
"g23902",60,16,10,49,89,64
"g23908",15,24,28,23,53,22
"g23906",15,0,4,52,61,70
"g23911",252,102,94,73,147,114
"g23918",3,0,0,14,32,19
"g23919",39,41,64,24,66,38
"g23926",18,5,6,7,10,22
"g23938",8,3,23,10,9,11
"g23931",0,0,2,12,25,21
"g23932",0,0,0,11,13,9
"g23933",0,0,0,25,14,24
"g23934",0,0,0,4,13,8
"g23930",62,21,8,10,24,34
"g23940",92,54,53,47,69,47
"g23944",14,0,4,20,24,24
"g23945",25,21,23,71,58,64
"g23949",12,6,8,24,19,25
"g23965",18,5,3,18,36,43
"g23966",14,11,6,29,36,35
"g23969",7,12,6,31,43,46
"g23970",3,0,5,6,15,33
"g23955",0,0,0,4,17,15
"g23956",0,0,0,22,26,45
"g23960",0,0,0,22,7,17
"g23964",0,0,0,47,46,55
"g23951",55,16,76,59,80,62
"g23958",3,7,0,16,19,15
"g23961",12,10,5,26,54,49
"g23963",26,25,61,38,58,49
"g24000",0,0,0,78,105,105
"g23978",0,0,0,51,77,36
"g23985",0,0,0,19,12,13
"g23986",0,0,0,31,42,21
"g23987",0,0,0,4,13,12
"g23988",0,0,0,7,21,5
"g23989",0,0,0,4,16,8
"g23990",0,0,0,11,32,23
"g23993",0,0,0,9,32,13
"g23977",34,13,27,46,67,56
"g23981",55,28,9,13,43,22
"g23984",7,14,6,21,65,74
"g24007",0,0,0,18,39,34
"g24001",0,0,0,16,31,31
"g24002",0,0,0,4,5,12
"g24004",30,12,33,45,53,58
"g24005",62,58,180,128,228,142
"g24006",17,21,54,27,43,36
"g24025",54,49,31,38,101,101
"g24030",5,5,0,31,68,51
"g24031",4,2,0,28,19,22
"g24037",624,457,601,58,92,52
"g24038",5,4,0,14,14,16
"g24043",0,0,0,16,22,28
"g24040",271,45,161,208,306,265
"g24053",46,30,49,55,108,85
"g24055",1235,971,827,70,166,96
"g24058",69,38,42,53,58,46
"g24065",215,200,143,74,191,102
"g24076",0,0,3,3,8,7
"g24080",0,0,0,16,51,10
"g24078",13,6,23,12,9,10
"g24088",0,0,0,16,67,50
"g24091",35,13,56,42,55,76
"g24096",309,250,280,67,95,82
"g24097",707,633,704,63,102,93
"g24113",818,689,595,51,103,84
"g24117",494,273,274,29,57,29
"g24121",18,28,37,21,49,22
"g24135",0,0,0,13,40,11
"g24136",0,0,0,13,20,20
"g24129",131,86,84,46,84,59
"g24137",1,1,1,13,14,18
"g24148",98,79,101,30,54,60
"g24150",39,10,18,17,33,29
"g24153",178,32,62,49,82,41
"g24154",112,43,35,30,57,48
"g24180",1,0,0,10,8,17
"g24183",48,115,28,18,71,44
"g24196",7,32,6,22,43,42
"g24225",117,128,101,61,88,99
"g24229",0,0,0,16,9,6
"g24228",4,28,5,9,23,15
"g24230",7,19,9,20,18,26
"g24233",0,19,29,92,121,105
"g24235",6,144,25,60,72,82
"g24239",4,0,0,5,21,45
"g24244",0,0,4,17,39,25
"g24249",5,6,2,2,13,4
"g24260",14,12,28,57,88,48
"g24279",0,10,8,21,58,45
"g24280",12,5,17,28,43,33
"g24281",9,51,35,13,60,45
"g24277",0,0,0,26,48,30
"g24275",428,753,202,226,391,296
"g24276",49,27,6,26,76,51
"g24278",470,392,250,143,260,212
"g24290",26,0,0,44,48,61
"g24292",293,191,143,58,121,102
"g24297",0,0,0,23,53,33
"g24294",58,17,71,14,39,37
"g24295",20,37,40,20,26,17
"g24296",42,18,12,23,48,29
"g24298",9,1,22,18,32,23
"g24301",5,14,6,137,205,173
"g24316",3,0,0,22,26,27
"g24323",1,3,0,21,22,31
"g24321",14,13,12,14,43,41
"g24325",0,6,0,7,7,14
"g24326",5,3,0,34,61,54
"g24305",0,0,0,10,14,3
"g24310",0,0,0,15,20,11
"g24311",0,0,0,14,24,13
"g24313",21,21,27,33,44,35
"g24341",338,343,281,23,44,40
"g24353",2,0,1,13,15,10
"g24367",91,11,46,24,47,28
"g24368",19,29,16,31,50,28
"g24395",0,0,0,6,24,3
"g24396",5,0,0,14,17,0
"g24405",13,4,12,0,38,27
"g24386",7,4,0,14,14,22
"g24387",22,8,14,45,44,62
"g24388",5,0,0,15,23,20
"g24408",489,224,217,27,40,38
"g24412",74,35,24,43,59,52
"g24414",41,34,8,18,52,30
"g24416",0,0,0,14,15,13
"g24429",3,1,0,9,20,14
"g24431",2,0,0,20,26,30
"g24434",1,0,0,3,11,12
"g24435",0,2,0,16,28,24
"g24447",27,7,9,39,79,65
"g24448",4,0,18,41,68,71
"g24453",2,0,0,7,8,11
"g24457",7,0,0,21,37,35
"g24456",148,91,110,40,72,41
"g24459",0,0,0,49,34,48
"g24460",0,0,0,48,31,39
"g24458",37,17,43,16,33,19
"g24467",9,0,3,13,14,13
"g24468",0,0,0,22,22,24
"g24469",13,0,0,12,35,22
"g24474",28,8,21,39,45,40
"g24482",0,0,0,14,27,19
"g24488",0,0,7,5,24,17
"g24490",0,0,0,27,117,115
"g24475",9,14,12,9,27,24
"g24477",3,0,1,16,48,32
"g24489",12,35,18,32,39,57
"g24496",27,45,47,37,26,46
"g24500",0,13,0,17,20,33
"g24503",0,0,0,9,29,23
"g24504",0,0,0,9,16,11
"g24501",293,370,48,191,294,195
"g24505",3,3,2,6,13,5
"g24521",7,30,0,201,136,240
"g24535",6,0,0,120,181,75
"g24540",1,3,0,28,43,41
"g24518",338,224,327,26,38,31
"g24547",19,0,24,34,72,35
"g24553",1,2,0,53,118,86
"g24555",2,3,1,94,173,103
"g24556",2,5,0,7,10,9
"g24559",4,11,14,37,42,27
"g24561",6,0,0,0,18,22
"g24566",4,0,37,27,53,13
"g24571",3,4,6,78,56,27
"g24576",9,6,1,20,24,18
"g24593",1,4,3,122,218,213
"g24600",68,27,18,23,11,37
"g24624",4,39,22,61,92,81
"g24636",2,0,0,48,83,73
"g24644",1,0,1,14,19,8
"g24656",7,0,0,55,99,0
"g24659",2,0,0,13,8,10
"g24663",3,2,0,63,160,128
"g24669",5,27,0,22,41,23
"g24679",3,2,0,23,64,21
"g24677",11,9,7,30,41,40
"g24678",6,4,2,57,131,104
"g24681",0,4,12,28,105,50
"g24686",0,0,0,16,28,9
"g24697",0,0,0,22,32,21
"g24707",0,7,29,24,59,35
"g24735",3,4,4,12,17,21
"g24761",0,5,0,21,37,46
"g24754",9,10,0,29,28,29
"g24770",11,0,0,32,58,56
"g24609",0,0,0,45,61,48
"g24610",0,0,0,29,57,48
"g24780",6,3,0,47,91,85
"g24790",39,9,19,41,30,73
"g24801",8,0,0,16,28,47
"g24811",0,0,0,87,123,103
"g24843",2,0,0,30,57,24
"g24854",2,0,0,7,18,14
"g24857",2,3,0,9,21,14
"g24856",10,0,0,54,56,78
"g24862",5,5,5,6,20,13
"g24867",0,0,0,12,41,13
"g24866",2,0,0,23,32,23
"g24872",1,0,3,27,37,21
"g24873",4,2,2,60,69,75
"g24874",5,4,7,30,47,62
"g24875",0,18,4,21,33,17
"g24878",14,12,11,8,12,11
"g24889",1,0,1,51,74,88
"g24892",31,17,14,30,41,44
"g24907",38,13,19,6,21,19
"g24908",16,0,0,36,39,27
"g24913",0,0,0,7,8,23
"g24916",11,10,14,45,73,62
"g24917",44,54,44,186,299,184
"g24919",8,3,4,41,137,69
"g24920",35,0,42,44,97,66
"g24921",0,0,0,23,17,59
"g24922",2,0,0,17,29,11
"g24924",4,2,1,12,23,14
"g24929",23,32,115,16,91,69
"g24940",8,0,0,12,15,13
"g24941",12,5,23,20,67,33
"g24935",0,0,0,13,26,25
"g24932",210,84,53,33,85,74
"g24934",10,4,0,3,10,13
"g24938",44,33,19,38,92,60
"g24944",8,8,0,38,75,56
"g24946",2,0,6,6,7,6
"g24952",6,10,1,62,106,97
"g24951",14,0,0,71,94,81
"g24956",19,39,52,68,101,78
"g24957",21,25,60,46,77,48
"g24958",0,0,0,23,56,56
"g24960",45,63,60,33,63,83
"g24961",9,2,17,20,33,19
"g24962",32,15,21,44,57,51
"g24963",42,67,86,75,81,93
"g24965",30,16,28,65,79,81
"g24966",54,21,61,42,83,60
"g24990",186,164,188,54,100,64
"g24986",0,0,2,13,30,33
"g24998",224,101,138,27,82,62
"g25003",0,0,1,7,7,10
"g25006",0,0,0,2,18,7
"g25007",38,93,7,61,62,25
"g25008",202,34,27,43,81,62
"g25009",22,1,2,11,23,22
"g25035",10,0,0,10,29,5
"g25036",13,4,0,17,42,39
"g25033",8,7,2,22,48,31
"g25034",68,36,14,47,131,72
"g25037",21,14,4,20,28,24
"g25029",0,0,0,29,69,32
"g25025",8,4,3,20,66,49
"g25026",90,215,262,69,192,85
"g25027",7,13,14,27,53,43
"g25032",107,125,39,40,108,38
"g25045",98,94,98,29,80,25
"g25046",0,0,0,16,31,32
"g25048",13,7,8,34,64,62
"g25047",88,137,93,53,68,60
"g25044",0,5,6,6,21,26
"g25059",97,29,72,62,67,64
"g25060",124,39,149,94,81,84
"g25070",123,91,113,65,124,93
"g25079",0,11,2,46,57,41
"g25083",0,0,6,12,13,18
"g25084",0,0,0,18,11,7
"g25085",0,0,0,3,5,3
"g25086",0,0,0,1,13,13
"g25082",7,0,0,19,15,16
"g25089",27,18,33,29,46,32
"g25090",115,120,106,70,125,58
"g25092",0,11,24,21,36,37
"g25101",137,117,111,48,81,64
"g25113",7,0,0,80,145,77
"g25133",8,4,14,9,6,14
"g25134",15,7,7,9,11,17
"g25135",31,4,10,18,31,32
"g25136",4,1,4,7,4,8
"g25137",43,71,48,23,35,37
"g25141",0,0,0,16,71,27
"g25142",0,0,0,15,50,17
