"geneID"	"percentMeth"
"g1"	0
"g10"	72.857143
"g100"	89.927536
"g10006"	20
"g10007"	0
"g10016"	49.2857145
"g10021"	0
"g10023"	10
"g1003"	0
"g10030"	67.9051855
"g10031"	0
"g10032"	41.666667
"g10033"	72.4242425
"g10034"	61.5975425
"g10036"	58.139535
"g10037"	76.326531
"g1004"	0
"g10040"	20
"g10041"	70.1388885
"g10042"	95
"g10043"	85.7142855
"g10051"	75
"g10055"	90.4545455
"g10056"	66.6666665
"g10058"	0
"g10059"	0
"g10062"	50
"g10065"	0
"g10067"	0
"g10071"	0
"g10077"	0
"g10079"	0
"g1008"	81.818182
"g10080"	0
"g10081"	100
"g10082"	92.307692
"g10083"	80
"g10086"	0
"g10089"	0
"g1009"	66.666667
"g10092"	0
"g10093"	63.3333335
"g10094"	0
"g10096"	83.333333
"g10098"	0
"g10099"	0
"g101"	100
"g10100"	83.333333
"g10102"	0
"g1011"	0
"g10110"	100
"g10113"	0
"g10115"	88.1944445
"g10116"	94.421551
"g10119"	40
"g1012"	70
"g10122"	40
"g10125"	85.185185
"g10126"	55.5555555
"g10127"	0
"g10128"	0
"g10130"	0
"g10137"	0
"g10138"	0
"g10145"	100
"g10146"	84.4444445
"g10147"	85.714286
"g10148"	100
"g10149"	0
"g1015"	100
"g10150"	20
"g10151"	90.909091
"g10152"	0
"g10153"	88.2333555
"g10154"	42.857143
"g10161"	60
"g10166"	20
"g1017"	0
"g10171"	25
"g10173"	57.2727275
"g10176"	53.333333
"g10180"	18.8596495
"g10187"	86.607143
"g1019"	0
"g10190"	0
"g10194"	100
"g10196"	0
"g10199"	0
"g102"	100
"g10203"	0
"g10205"	0
"g10206"	0
"g10209"	0
"g1021"	0
"g10212"	57.142857
"g10214"	0
"g10216"	69.78022
"g10218"	43.75
"g10219"	85.714286
"g1022"	8.3333335
"g10220"	66.666667
"g10221"	69.047619
"g10222"	35.7142855
"g10223"	89.4444445
"g1023"	0
"g10230"	0
"g10231"	83.333333
"g10232"	60
"g10233"	93.167702
"g10235"	0
"g10236"	0
"g10237"	0
"g1024"	0
"g10243"	0
"g10244"	50
"g10245"	57.142857
"g1025"	0
"g10251"	0
"g10252"	0
"g10253"	0
"g10257"	25
"g10259"	71.428571
"g10268"	80
"g10269"	97.222222
"g1027"	0
"g10270"	96.296296
"g10273"	73.3333335
"g10275"	90.756303
"g10276"	85.7142855
"g10278"	100
"g10279"	90.873016
"g10281"	100
"g10282"	33.3333335
"g10283"	100
"g10284"	40
"g10287"	100
"g10288"	0
"g1029"	0
"g10290"	11.111111
"g10291"	0
"g10294"	0
"g10295"	0
"g10298"	0
"g103"	86.111111
"g1030"	0
"g10305"	0
"g10308"	66.666667
"g10309"	91.666667
"g10310"	80
"g10313"	72.857143
"g10315"	85.714286
"g10316"	97.6190475
"g10317"	87.3015875
"g10319"	100
"g1032"	0
"g10320"	89.903846
"g10321"	100
"g10322"	0
"g10325"	28.853755
"g10326"	91.6666665
"g10327"	91.304348
"g10328"	48.529412
"g10329"	0
"g10330"	0
"g10333"	87.1266475
"g10334"	0
"g10337"	75
"g10338"	66.0774415
"g10339"	0
"g10341"	0
"g10342"	0
"g10343"	0
"g10344"	83.333333
"g10345"	100
"g10349"	74.642857
"g10350"	94.252874
"g10351"	94.7597255
"g10352"	7.142857
"g10354"	93.103448
"g10356"	0
"g10357"	0
