totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	1683069	230343	13.6858916657606	196827	11.6945294577941	1255899	74.6195788764453
2	1740149	267181	15.3539150957763	188348	10.8236708465769	1284620	73.8224140576468
3	3204885	533230	16.638038494361	348967	10.888596626712	2322688	72.473364878927
4	1062577	123271	11.6011357294577	53235	5.00998986426395	886071	83.3888744062783
5	895852	89865	10.0312328375669	48499	5.41372905345972	757488	84.5550381089734
6	1064769	113217	10.6330105403144	64106	6.02064861016803	887446	83.3463408495176
7	208503	48436	23.2303611938437	25316	12.1417917248193	134751	64.627847081337
8	83519	20458	24.4950250841126	9441	11.3040146553479	53620	64.2009602605395
9	50302	12960	25.7643831259194	4843	9.62784779929227	32499	64.6077690747883
