totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	2888219	220239	7.62542591126227	351041	12.1542376114831	2316939	80.2203364772547
2	2921567	261721	8.95824056063065	329457	11.2767223890467	2330389	79.7650370503226
3	5586815	526674	9.42708860057117	651370	11.6590579784725	4408771	78.9138534209563
4	2110677	134470	6.37094164573736	98807	4.68129420086541	1877400	88.9477641533972
5	1752845	94877	5.41274328306268	86553	4.93785816772162	1571415	89.6493985492157
6	2111748	118130	5.59394397437573	115348	5.46220477064498	1878270	88.9438512549793
7	375096	58259	15.5317572034892	49523	13.2027534284556	267314	71.2654893680551
8	158871	25048	15.7662506058374	19409	12.216830006735	114414	72.0169193874275
9	103090	16508	16.0131923561936	11950	11.5918129789504	74632	72.3949946648559
