totalLines	Meth	percentMeth	sparseMeth	percentSparseMeth	unMeth	percentUnMeth
1	4571288	450582	9.85678434611864	547868	11.9849810381669	3572838	78.1582346157144
2	4661716	528902	11.3456503999815	517805	11.1076050106871	3615009	77.5467445893315
3	8791700	1059904	12.0557343858412	1000337	11.3781976182081	6731459	76.5660679959507
4	3173254	257741	8.12229339346929	152042	4.79135927978031	2763471	87.0863473267504
5	2648697	184742	6.97482573506898	135052	5.09880896153845	2328903	87.9263653033926
6	3176517	231347	7.28303988299134	179454	5.64939523383631	2765716	87.0675648831724
7	583599	106695	18.2822451717703	74839	12.823702576598	402065	68.8940522516317
8	242390	45506	18.7738768100994	28850	11.9023062007509	168034	69.3238169891497
9	153392	29468	19.2109106081152	16793	10.9477678105768	107131	69.841321581308
