coefficient z.value p.value p.adj
seqMethodB -13.4461381517276 3.24376074557802e-41 3.24376074557802e-40
seqMethodC 6.42749480997792 1.29724023627619e-10 4.32413412092063e-10
seqMethodB 0.371957301224847 0.709924640718515 0.709924640718515
seqMethodC -9.59505477351574 8.38725409769592e-22 4.19362704884796e-21
seqMethodB 0.867222373299368 0.38582017986445 0.428689088738278
seqMethodC -2.74397120580661 0.00607008619936759 0.00758760774920948
seqMethodB -4.15389424048034 3.26864294004511e-05 4.66948991435015e-05
seqMethodC -4.44853551016881 8.64577570275986e-06 1.72915514055197e-05
seqMethodB 5.23884322738509 1.6158622847077e-07 4.03965571176924e-07
seqMethodC 4.36965345255796 1.24443866256631e-05 2.07406443761052e-05
